"Date","Market","Component","Delmo","Segment","Price"
2017-08-04,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.903
2017-08-04,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.22365
2017-08-07,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.14625
2017-08-07,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.37725
2017-08-07,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.179688
2017-08-07,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.3562
2017-08-07,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.6074
2017-08-07,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.098
2017-08-07,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.86855
2017-08-07,"ERCOT ","ZONE N",2018-08-01,"pkPrice",65.0508
2017-08-07,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.64825
2017-08-07,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.9777
2017-08-07,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.9686
2017-08-07,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.2952
2017-08-08,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.2574
2017-08-08,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.51565
2017-08-08,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.30535
2017-08-08,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.505
2017-08-08,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.7439
2017-08-08,"ERCOT ","ZONE N",2018-06-01,"pkPrice",30.97675
2017-08-08,"ERCOT ","ZONE N",2018-07-01,"pkPrice",43.6623
2017-08-08,"ERCOT ","ZONE N",2018-08-01,"pkPrice",63.94705
2017-08-08,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.5229
2017-08-08,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.1082
2017-08-08,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.0834
2017-08-08,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.39855
2017-08-09,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.67635
2017-08-09,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.9222
2017-08-09,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.7456
2017-08-09,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.6817
2017-08-09,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.8804
2017-08-09,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.12865
2017-08-09,"ERCOT ","ZONE N",2018-07-01,"pkPrice",43.85925
2017-08-09,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.21285
2017-08-09,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.61875
2017-08-09,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.1778
2017-08-09,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.1408
2017-08-09,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.43035
2017-08-10,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.2663
2017-08-10,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.4931
2017-08-10,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.2496
2017-08-10,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.9514
2017-08-10,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.0715
2017-08-10,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.3565
2017-08-10,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.1774
2017-08-10,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.678
2017-08-10,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.8424
2017-08-10,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.3518
2017-08-10,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.2966
2017-08-10,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.5655
2017-08-11,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.27485
2017-08-11,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.51905
2017-08-11,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.2664
2017-08-11,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.9979
2017-08-11,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.1079
2017-08-11,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.3999
2017-08-11,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.238
2017-08-11,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.7666
2017-08-11,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.885
2017-08-11,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.3953
