"Date","Market","Component","Delmo","Segment","Price"
2017-08-04,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.915
2017-08-04,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.047
2017-08-07,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.175
2017-08-07,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.165
2017-08-07,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.125
2017-08-07,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.834
2017-08-07,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.814
2017-08-07,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.84
2017-08-07,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.867
2017-08-07,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.872
2017-08-07,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.851
2017-08-07,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.871
2017-08-07,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.923
2017-08-07,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.056
2017-08-08,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.188
2017-08-08,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.181
2017-08-08,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.14
2017-08-08,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.85
2017-08-08,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.829
2017-08-08,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.855
2017-08-08,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.882
2017-08-08,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.887
2017-08-08,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.866
2017-08-08,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.886
2017-08-08,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.937
2017-08-08,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.069
2017-08-09,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.237
2017-08-09,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.228
2017-08-09,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.184
2017-08-09,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.869
2017-08-09,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.844
2017-08-09,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.869
2017-08-09,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.895
2017-08-09,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.899
2017-08-09,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.875
2017-08-09,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.894
2017-08-09,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.944
2017-08-09,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.073
2017-08-10,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.306
2017-08-10,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.294
2017-08-10,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.244
2017-08-10,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.898
2017-08-10,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.865
2017-08-10,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.89
2017-08-10,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.916
2017-08-10,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.92
2017-08-10,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.896
2017-08-10,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.914
2017-08-10,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.963
2017-08-10,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.09
2017-08-11,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.307
2017-08-11,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.297
2017-08-11,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.246
2017-08-11,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.903
2017-08-11,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.869
2017-08-11,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.894
2017-08-11,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.92
2017-08-11,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.924
2017-08-11,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.9
2017-08-11,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.919
2017-08-11,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.967
2017-08-11,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.094
2017-08-14,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.298
2017-08-14,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.289
2017-08-14,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.24
2017-08-14,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.906
2017-08-14,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.872
2017-08-14,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.897
